epochs,function,layer 1,layer 2,layer 3,learning rate,test MSE,Percentage movement correct,Ratio Made
3000.0,TanhShrink,128.0,16.0,8.0,0.001,0.007641666103154421,51.984127044677734,1.8037230968475342
3000.0,Relu,128.0,64.0,16.0,0.001,0.011721841059625149,55.55555725097656,2.4002809524536133
3000.0,Relu,128.0,16.0,8.0,0.001,0.011083952151238918,52.77777862548828,1.6450297832489014
5000.0,TanhShrink,128.0,16.0,8.0,0.001,0.008170799352228642,56.349205017089844,2.013607978820801
5000.0,Relu,128.0,16.0,8.0,0.001,0.011364990845322609,58.33333206176758,2.4870412349700928
10000.0,TanhShrink,128.0,16.0,8.0,0.001,0.009388159029185772,54.36507797241211,1.8841248750686646
10000.0,Relu,128.0,16.0,8.0,0.001,0.015062396414577961,53.96825408935547,1.8547227382659912
3000.0,TanhShrink,128.0,16.0,4.0,0.03,0.020923646166920662,47.619049072265625,1.3053112030029297
3000.0,Relu,128.0,16.0,4.0,0.03,0.011641350574791431,50.79365158081055,1.9214071035385132
5000.0,TanhShrink,128.0,16.0,4.0,0.03,0.007005051244050264,53.57143020629883,2.262336492538452
5000.0,Relu,128.0,16.0,4.0,0.03,0.012360905297100544,53.17460250854492,1.8429139852523804
10000.0,TanhShrink,128.0,16.0,4.0,0.03,0.009156287647783756,53.17460250854492,1.7551933526992798
5000.0,TanhShrink,128.0,64.0,16.0,0.001,0.00987219251692295,54.36507797241211,1.8489869832992554
10000.0,Relu,128.0,16.0,4.0,0.03,0.013497572392225266,53.17460250854492,2.0939035415649414
3000.0,TanhShrink,128.0,16.0,4.0,0.003,0.00965233612805605,53.17460250854492,1.91924250125885
3000.0,Relu,128.0,16.0,4.0,0.003,0.013531557284295559,57.5396842956543,2.408828020095825
5000.0,TanhShrink,128.0,16.0,4.0,0.003,0.009782618843019009,56.349205017089844,2.13041090965271
5000.0,Relu,128.0,16.0,4.0,0.003,0.01172673050314188,51.984127044677734,1.6816989183425903
10000.0,TanhShrink,128.0,16.0,4.0,0.003,0.013795257546007633,52.77777862548828,1.7514994144439697
10000.0,Relu,128.0,16.0,4.0,0.003,0.012989301234483719,60.71428680419922,2.6687777042388916
3000.0,TanhShrink,128.0,16.0,4.0,0.001,0.00744968606159091,52.77777862548828,1.9554016590118408
3000.0,Relu,128.0,16.0,4.0,0.001,0.011559026315808296,53.57143020629883,1.7474849224090576
5000.0,TanhShrink,128.0,16.0,4.0,0.001,0.009955971501767635,55.158729553222656,2.0994088649749756
5000.0,Relu,128.0,64.0,16.0,0.001,0.01601172238588333,48.80952453613281,1.6414177417755127
5000.0,Relu,128.0,16.0,4.0,0.001,0.011509695090353489,59.126983642578125,2.442556858062744
10000.0,TanhShrink,128.0,16.0,4.0,0.001,0.010230830870568752,53.17460250854492,2.139023780822754
10000.0,Relu,128.0,16.0,4.0,0.001,0.014501195400953293,49.20634841918945,1.556354284286499
3000.0,TanhShrink,64.0,64.0,16.0,0.03,0.3119667172431946,56.74603271484375,1.7994004487991333
3000.0,Relu,64.0,64.0,16.0,0.03,0.012711952440440655,53.57143020629883,1.7069100141525269
5000.0,TanhShrink,64.0,64.0,16.0,0.03,0.05584137886762619,53.57143020629883,1.9862576723098755
5000.0,Relu,64.0,64.0,16.0,0.03,0.017549172043800354,50.79365158081055,1.8257004022598267
10000.0,TanhShrink,64.0,64.0,16.0,0.03,0.02002721279859543,46.82539749145508,1.320900797843933
10000.0,Relu,64.0,64.0,16.0,0.03,0.01600274071097374,54.36507797241211,2.1043636798858643
3000.0,TanhShrink,64.0,64.0,16.0,0.003,0.009715069085359573,56.349205017089844,2.0290327072143555
10000.0,TanhShrink,128.0,64.0,16.0,0.001,0.01113277580589056,58.33333206176758,2.2648158073425293
3000.0,Relu,64.0,64.0,16.0,0.003,0.01195359043776989,56.349205017089844,2.952791452407837
5000.0,TanhShrink,64.0,64.0,16.0,0.003,0.010242480784654617,55.158729553222656,2.055274486541748
5000.0,Relu,64.0,64.0,16.0,0.003,0.019937710836529732,51.587303161621094,1.4975066184997559
10000.0,TanhShrink,64.0,64.0,16.0,0.003,0.01448522973805666,52.77777862548828,1.8227171897888184
10000.0,Relu,64.0,64.0,16.0,0.003,0.017514370381832123,53.96825408935547,2.2804784774780273
3000.0,TanhShrink,64.0,64.0,16.0,0.001,0.007230792660266161,59.52381134033203,2.6342592239379883
3000.0,Relu,64.0,64.0,16.0,0.001,0.012047100812196732,53.96825408935547,2.0398306846618652
5000.0,TanhShrink,64.0,64.0,16.0,0.001,0.008396756835281849,54.761905670166016,1.7541980743408203
5000.0,Relu,64.0,64.0,16.0,0.001,0.011996516957879066,51.984127044677734,1.660141944885254
10000.0,TanhShrink,64.0,64.0,16.0,0.001,0.012085738591849804,52.77777862548828,1.6991395950317383
10000.0,Relu,128.0,64.0,16.0,0.001,0.01447521522641182,50.39682388305664,1.5926932096481323
10000.0,Relu,64.0,64.0,16.0,0.001,0.017855830490589142,55.9523811340332,2.0468623638153076
3000.0,TanhShrink,64.0,64.0,8.0,0.03,0.4037213623523712,53.17460250854492,1.8887100219726562
3000.0,Relu,64.0,64.0,8.0,0.03,0.014182384125888348,53.17460250854492,1.8662720918655396
5000.0,TanhShrink,64.0,64.0,8.0,0.03,0.007702857255935669,54.36507797241211,2.423433780670166
5000.0,Relu,64.0,64.0,8.0,0.03,0.013863243162631989,51.984127044677734,1.6358412504196167
10000.0,TanhShrink,64.0,64.0,8.0,0.03,0.007221383973956108,55.9523811340332,2.809170722961426
10000.0,Relu,64.0,64.0,8.0,0.03,0.0069093164056539536,59.92063522338867,2.617150068283081
3000.0,TanhShrink,64.0,64.0,8.0,0.003,0.01609470508992672,56.74603271484375,1.9643346071243286
3000.0,Relu,64.0,64.0,8.0,0.003,0.011750929057598114,57.14285659790039,1.8769996166229248
5000.0,TanhShrink,64.0,64.0,8.0,0.003,0.010466468520462513,57.5396842956543,2.1227355003356934
3000.0,TanhShrink,128.0,64.0,8.0,0.03,0.008892967365682125,53.96825408935547,1.6961930990219116
5000.0,Relu,64.0,64.0,8.0,0.003,0.017413396388292313,56.349205017089844,2.1233208179473877
10000.0,TanhShrink,64.0,64.0,8.0,0.003,0.014672668650746346,52.380950927734375,1.5846195220947266
10000.0,Relu,64.0,64.0,8.0,0.003,0.01690291054546833,49.60317611694336,1.4808341264724731
3000.0,TanhShrink,64.0,64.0,8.0,0.001,0.008567874319851398,57.93650817871094,2.659452438354492
3000.0,Relu,64.0,64.0,8.0,0.001,0.011854954063892365,57.5396842956543,2.1176249980926514
5000.0,TanhShrink,64.0,64.0,8.0,0.001,0.007831092923879623,58.730159759521484,2.5180864334106445
5000.0,Relu,64.0,64.0,8.0,0.001,0.013479663990437984,51.587303161621094,1.8483291864395142
10000.0,TanhShrink,64.0,64.0,8.0,0.001,0.012291556224226952,52.77777862548828,1.8371179103851318
10000.0,Relu,64.0,64.0,8.0,0.001,0.017651963979005814,50.39682388305664,1.6016275882720947
3000.0,TanhShrink,64.0,64.0,4.0,0.03,0.013321666978299618,55.158729553222656,1.840684413909912
3000.0,Relu,128.0,64.0,16.0,0.03,0.01225779578089714,52.380950927734375,1.735995888710022
3000.0,Relu,128.0,64.0,16.0,0.03,0.01225779578089714,52.380950927734375,1.735995888710022
3000.0,Relu,128.0,64.0,8.0,0.03,0.01231366116553545,55.55555725097656,2.309865951538086
3000.0,Relu,64.0,64.0,4.0,0.03,0.013875661417841911,52.77777862548828,1.4324898719787598
5000.0,TanhShrink,64.0,64.0,4.0,0.03,0.031226474791765213,50.79365158081055,1.5738630294799805
5000.0,Relu,64.0,64.0,4.0,0.03,0.01084656361490488,57.14285659790039,2.232001781463623
10000.0,TanhShrink,64.0,64.0,4.0,0.03,0.008509197272360325,59.126983642578125,3.046393394470215
10000.0,Relu,64.0,64.0,4.0,0.03,0.016478704288601875,51.19047546386719,1.5599712133407593
3000.0,TanhShrink,64.0,64.0,4.0,0.003,0.01017017848789692,55.158729553222656,2.122406244277954
3000.0,Relu,64.0,64.0,4.0,0.003,0.015859832987189293,51.984127044677734,1.3813925981521606
5000.0,TanhShrink,64.0,64.0,4.0,0.003,0.011600970290601254,52.77777862548828,1.689137578010559
5000.0,Relu,64.0,64.0,4.0,0.003,0.014265436679124832,48.412696838378906,1.4867819547653198
10000.0,TanhShrink,64.0,64.0,4.0,0.003,0.01107654720544815,55.9523811340332,1.8482282161712646
5000.0,TanhShrink,128.0,64.0,8.0,0.03,0.04149174690246582,50.79365158081055,1.540573239326477
10000.0,Relu,64.0,64.0,4.0,0.003,0.016599373891949654,54.761905670166016,1.7733627557754517
3000.0,TanhShrink,64.0,64.0,4.0,0.001,0.007940534502267838,53.57143020629883,2.061743974685669
3000.0,Relu,64.0,64.0,4.0,0.001,0.011431670747697353,51.19047546386719,1.8074043989181519
5000.0,TanhShrink,64.0,64.0,4.0,0.001,0.00984139647334814,54.36507797241211,1.9452407360076904
5000.0,Relu,64.0,64.0,4.0,0.001,0.011613871902227402,53.57143020629883,1.9516046047210693
10000.0,TanhShrink,64.0,64.0,4.0,0.001,0.010808340273797512,60.71428680419922,2.631554365158081
10000.0,Relu,64.0,64.0,4.0,0.001,0.017191747203469276,53.57143020629883,2.440030097961426
3000.0,TanhShrink,64.0,32.0,16.0,0.03,0.016764787957072258,53.57143020629883,1.5429710149765015
3000.0,Relu,64.0,32.0,16.0,0.03,0.013596714474260807,50.0,1.5354218482971191
5000.0,TanhShrink,64.0,32.0,16.0,0.03,0.01098431646823883,48.412696838378906,1.8172461986541748
5000.0,Relu,128.0,64.0,8.0,0.03,0.013150692917406559,50.39682388305664,1.992760181427002
5000.0,Relu,64.0,32.0,16.0,0.03,0.014022194780409336,52.380950927734375,1.756996989250183
10000.0,TanhShrink,64.0,32.0,16.0,0.03,0.00818131398409605,50.39682388305664,1.7372475862503052
10000.0,Relu,64.0,32.0,16.0,0.03,0.018330665305256844,50.79365158081055,2.135100841522217
3000.0,TanhShrink,64.0,32.0,16.0,0.003,0.009252184070646763,53.96825408935547,1.8849214315414429
3000.0,Relu,64.0,32.0,16.0,0.003,0.011643006466329098,52.380950927734375,1.9803763628005981
5000.0,TanhShrink,64.0,32.0,16.0,0.003,0.010838638991117477,56.349205017089844,2.401871681213379
5000.0,Relu,64.0,32.0,16.0,0.003,0.01604638248682022,53.17460250854492,1.9630717039108276
10000.0,TanhShrink,64.0,32.0,16.0,0.003,0.014763243496418,55.158729553222656,1.9826650619506836
10000.0,Relu,64.0,32.0,16.0,0.003,0.015927376225590706,55.55555725097656,2.6617298126220703
