Datetime,open,close,high,low,open_1,close_1,high_1,low_1,avg_price_5,avg_price_30,ratio_avg_price_5_30,username,followers_count,text,retweet_count,like_count,view_count,tags,sentiment_1,sentiment_2,sentiment_3
2024-01-31 01:00:00+00:00,42940.72265625,42806.109375,42990.46484375,42727.9140625,42946.25,42917.44921875,43053.9375,42873.578125,41557.31024460566,42925.05364040798,0.968136477888643,Robert Kiyosaki,2746400,"Why I own Bitcoin. Bitcoin is protection against the theft of our wealth via our money. Fed Chairman Powell, Treasury Secretary Yellin, and Wall Street bankers steal our wealth via our money, specifically via inflation, taxation, &amp; stock price manipulation.  That is why I save ",1610,8099,753242.0,[],0.32565242052078247,-0.009367378428578377,-0.5592073202133179
2024-01-11 15:00:00+00:00,48625.9765625,46691.44921875,48625.9765625,46531.1953125,47341.6328125,48712.9609375,48969.37109375,47328.09765625,44981.54338727678,43379.33313802083,1.0369348750511718,Edward Snowden,5825186,"In other news, #Bitcoin ETFs begin trading today. ",442,4405,490608.0,['Bitcoin'],-2.091364860534668,1.539623737335205,0.333033949136734
2024-01-04 19:00:00+00:00,44099.703125,44017.75390625,44471.59375,44017.75390625,44055.046875,44110.515625,44160.4140625,43937.71875,43165.21393694197,42998.99689670139,1.003865602740452,Bold Bitcoin,18699,#Bitcoin Facts. https://t.co/xNpsWCZWmm ,191,2223,103565.0,['Bitcoin'],-0.9069531559944153,1.89822256565094,-1.3658586740493774
2024-01-23 09:00:00+00:00,39426.74609375,38933.33203125,39450.3203125,38893.0625,39736.58203125,39438.515625,39799.859375,39403.9921875,41710.999604724704,43284.24093967014,0.9636532534522615,Jim Cramer,2228601,Now that Bitcoin's down about 20% from its high i expect a strong stand to be made but it won't hold because not enough money is coming in. New theme: Number Go Down ,727,5795,1805069.0,[],1.4361823797225952,0.2195446640253067,-1.926695704460144
2024-01-06 02:00:00+00:00,44009.14453125,43962.15234375,44029.1171875,43889.8984375,44108.78125,43996.0,44118.95703125,43976.37890625,43429.77387927828,42998.23026801215,1.0100363109964356,Conor,47026,"Either Satoshi woke up, bought 27 bitcoin from Binance, and deposited into their wallet, or someone just burned a million dollars https://t.co/w34kjnAHPJ ",734,4819,2111553.0,[],0.185520201921463,0.7130018472671509,-1.4033050537109375
2024-01-11 00:00:00+00:00,46656.07421875,46702.53515625,46708.171875,46333.0390625,46924.22265625,46646.68359375,47647.22265625,46489.70703125,44662.23488653274,43275.26535373264,1.0320499371052492,Bitcoin Clown 🤡,17449,Normies buying #Bitcoin ETF tomorrow @ 9AM🤝🚀 https://t.co/m4f2sDTpjm ,327,1914,175753.0,['Bitcoin'],-1.8737578392028809,1.8716493844985962,-0.3507658541202545
2024-01-22 22:00:00+00:00,39771.328125,39833.47265625,40020.03515625,39629.1015625,40120.1640625,39849.1171875,40140.39453125,39849.1171875,41899.00404575893,43343.76027018229,0.9666674922660722,Jim Cramer,2228601,Bitcoin=tough own ,457,3630,1304741.0,[],1.6082684993743896,-0.08253022283315659,-1.973164677619934
2024-01-25 14:00:00+00:00,39909.671875,39990.7578125,40067.42578125,39884.921875,39869.1484375,39909.109375,39940.265625,39794.40625,40744.929106212796,43018.98870442708,0.9471382367019646,Michael Saylor⚡️,4122147,#Bitcoin is Idyllic. https://t.co/LAJbV9WNhb ,878,5666,260423.0,['Bitcoin'],1.8545535802841187,-0.30818724632263184,-2.2154572010040283
2024-02-22 09:00:00+00:00,51867.6796875,51929.67578125,51980.9140625,51692.31640625,51799.6796875,51875.1484375,51903.48828125,51668.8984375,51823.00999813988,45915.90564236111,1.128650502982326,European Central Bank,789933,"Bitcoin has failed to become a global decentralised digital currency, instead falling victim to fraud and manipulation. The recent approval of an ETF doesn’t change the fact that Bitcoin is costly, slow and inconvenient, argues #TheECBBloghttps://t.co/e9Ek01Dism https://t.co/ddBFsv4g0w ",1343,4555,8845993.0,['TheECBBlog'],2.1250970363616943,-0.38240286707878113,-2.209959030151367
2024-02-28 22:00:00+00:00,60560.1484375,61285.59765625,61407.33203125,60560.1484375,60316.87890625,60506.9453125,60585.859375,59831.765625,53270.907133556546,48616.39676106771,1.0957395175821874,Adam Singer,88710,"Bitcoin holders who bought in at 60,000 in 2021 now up .8% https://t.co/hUxz0YhmWN ",3289,64522,9898813.0,[],-1.2409114837646484,1.2967970371246338,-0.5581206679344177
2024-02-28 19:00:00+00:00,61137.17578125,61013.68359375,61482.87109375,60693.40234375,61414.78515625,61200.0625,61414.78515625,59474.65234375,53100.669038318454,48543.43819444445,1.0938794410404074,Marques Brownlee,6249739,Remember Bitcoin? ,1331,30644,4813847.0,[],0.005346783436834812,0.762901782989502,-1.2190519571304321
2024-02-29 16:00:00+00:00,62796.37890625,62275.6796875,62888.28515625,61684.03125,62932.04296875,62829.76953125,63280.1640625,62656.7265625,54429.72865513393,49091.59696180555,1.1087381960192,Michael Saylor⚡️,4122147,"""With #Bitcoin right now ... there is too much demand and not enough supply."" - Matt Hougan, CIO Bitwise https://t.co/1B0joUQ1Pp ",2625,13903,954533.0,['Bitcoin'],1.0764689445495605,0.6407995820045471,-2.0231385231018066
